fecha_sesion,expediente,solicitante,niveles,destino,ubicacion,ctas_ctes,ordenanza_ref,texto_completo,fuente_url
17 de diciembre de 2025,12.541/2025,Expediente N° 12.541/2025,30,vivienda multifamiliar y comercio,Agustín Pío Barrios esq. Dr. César López Moreira,15-0728-01/02/50,106/23,"5. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento Territorial,
con relación a la Nota S/N°, ingresada en la Sesión Ordinaria del día 17 de diciembre
de 2025, por la cual se remite el pedido interpuesto por Luis Rogelio y Mario
Florenciáñez, a través del Expediente N° 12.541/2025, sobre solicitud de aplicación
del régimen de excepcionalidad en los inmuebles identificados con las Ctas. Ctes.
Ctrales. N° 15-0728-01/02/50, ubicados en Agustín Pío Barrios esquina Dr. César
López Moreira.
*Recomendación: “1° AUTORIZAR la aplicación del régimen de
excepcionalidad, previo pago del tributo establecido para el efecto en la
Ordenanza N° 106/23, al anteproyecto de construcción de una torre de 30
(treinta) niveles, destinada a vivienda multifamiliar y comercio, sito en las calles
Agustín Pío Barrios esq. Dr. César López Moreira, individualizado con las Ctas.
Ctes. Ctrales. Nº 15-0728-01/02/50, del Distrito de Santísima Trinidad, de
conformidad con la presentación realizada a través del Expediente Nº
12.541/2025, presentado por LUIS ROGELIO y MARIO FLORENCIÁÑEZ
CABRERA. 2° ENCOMENDAR a la Intendencia Municipal, para la
aprobación y otorgamiento del permiso de construcción, la requisitoria de un
Estudio de Impacto Vial que contemple medidas mitigatorias para la
implantación del proyecto, así como la respectiva Licencia Ambiental otorgada
por el MADES. Asimismo, el cumplimiento de los requisitos emanados de lo
establecido por el Numeral 4 del Artículo 1° de la Ordenanza N° 142/2024
(modificatoria de Art. 436.2/Ords. N° 163/2018 – N° 106/2023), en el sentido de
establecer y exigir el cumplimiento del “régimen al cual estarían sometidas las
superficies cedidas bajo este concepto” previa redacción y aprobación de este.",https://drive.google.com/file/d/1hjq4oXvMcZv-X6W3FZxNoZBEZx8eb1AJ/view?usp=sharing
17 de diciembre de 2025,10.433/2025,Expediente N° 10.433/2025,21,vivienda multifamiliar,San Roque González casi Cnel. Du Graty,14-0706-42/18,106/23,"6. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento Territorial,
con relación la Nota S/N°, ingresada en la Sesión Ordinaria del día 17 de diciembre
de 2025, por la cual se remite el pedido interpuesto por Carolina Susana Barszez
Mancia, a través del Expediente N° 10.433/2025, sobre solicitud de aplicación del
régimen de excepcionalidad en los inmuebles identificados con las Ctas. Ctes. Ctrales.
N° 14-0706-42/18, ubicados en la calle San Roque González esquina Cnel. Du Graty.
*Recomendación: “1° AUTORIZAR la aplicación del régimen de
excepcionalidad, previo pago del tributo establecido para el efecto en la
Ordenanza N° 106/23, al anteproyecto de construcción de una torre de 21
(veintiún) niveles, destinada a vivienda multifamiliar, sito en la calle San Roque
González casi Cnel. Du Graty, individualizado con las Ctas. Ctes. Ctrales. Nº 14-
0706-18 y N° 14-0706-42, de conformidad con la presentación realizada a través
del Expediente Nº 10.433/2025, caratulado a nombre de CAROLINA SUSANA
BARSZEZ MANCIA. 2° ENCOMENDAR a la Intendencia Municipal, para la
aprobación y otorgamiento del permiso de construcción, la requisitoria de un
Estudio de Impacto Vial que contemple medidas mitigatorias para la
implantación del proyecto, así como la respectiva Licencia Ambiental otorgada
por el MADES. Asimismo, el cumplimiento de los requisitos emanados de lo
establecido por el Numeral 4 del Artículo 1° de la Ordenanza N° 142/2024
(modificatoria de Art. 436.2/Ord. N° 163/2018 – N° 106/2023), en el sentido de
establecer y exigir el cumplimiento del “régimen al cual estarían sometidas las
superficies cedidas bajo este concepto” previa redacción y aprobación de este”.
6
Junta Municipal
Asunción",https://drive.google.com/file/d/1hjq4oXvMcZv-X6W3FZxNoZBEZx8eb1AJ/view?usp=sharing
17 de diciembre de 2025,9.910/2025,GÓMEZ ABENTE S.A,16,vivienda multifamiliar y comercio,Hérib Campos Cervera entre Papa San Juan XXIII y Narciso R. Colmán,15-0421-02/03/04,106/23,"7. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento Territorial,
con relación a la Nota S/N° que contiene el dictamen del Consejo del Plan Regulador,
relacionado con la Nota JM/Nº 5.323/2025 y el Mensaje Nº 774/2025 S.G., por el
cual la Intendencia Municipal remite, para su estudio y consideración, el Expediente
Nº 9.910/2025, presentado por GÓMEZ ABENTE S.A., sobre aprobación de
anteproyecto de un edificio de vivienda multifamiliar y comercio en los inmuebles
identificados con las Ctas. Ctes. Ctrales. Nº 15-0421-02/03/04, del Distrito de
Santísima Trinidad.
*Recomendación: “1° AUTORIZAR la aplicación del régimen de
excepcionalidad, previo pago del tributo establecido para el efecto en la
Ordenanza N° 106/23, al anteproyecto de construcción de una torre de 16
(dieciséis) niveles, destinada a vivienda multifamiliar y comercio, sito en Hérib
Campos Cervera entre Papa San Juan XXIII y Narciso R. Colmán,
individualizado con las Cuentas Corrientes Catastrales Nº 15-0421-02/03/04, de
conformidad con la presentación realizada a través del Expediente Nº
9.910/2025, presentado por la firma GÓMEZ ABENTE S.A. 2° ENCOMENDAR
a la Intendencia Municipal, para la aprobación y otorgamiento del permiso de
construcción, la requisitoria de un Estudio de Impacto Vial que contemple
medidas mitigatorias para la implantación del proyecto, así como la respectiva
Licencia Ambiental otorgada por el MADES. Asimismo, el cumplimiento de los
requisitos emanados de lo establecido por el Numeral 4 del Artículo 1° de la
Ordenanza N° 142/2024 (modificatoria del Art. 436.2/Ords. N° 163/2018 – N°
106/2023), en el sentido de establecer y exigir el cumplimiento del “régimen al
cual estarían sometidas las superficies cedidas bajo este concepto” previa
redacción y aprobación de este”.",https://drive.google.com/file/d/1hjq4oXvMcZv-X6W3FZxNoZBEZx8eb1AJ/view?usp=sharing
16 de julio de 2025,4.237/25,“ITACUÁ BIENES Y RAÍCES S,20,Edificio de Departamentos de 20 niveles (PB Estacionamientos y Palier + 14 Plantas Tipo 1 de Departamentos + 3 Plantas Tipo 2 de Departamentos + Azotea con Amenities y 1 Subsuelo de estacionamientos),Santísimo Sacramento casi Juan González Doldán,15-0786-25,,"12. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento
Territorial, con relación a la nota del Consejo del Plan Regulador, en la que hace
referencia a la Nota JM/N° 4.650/25, por la que se remitió, a dicho Consejo, el
Mensaje Nº 450/2025 S.G., referente al Expediente N° 4.237/25, presentado por
ITACUÁ BIENES Y RAÍCES S.A., sobre aprobación de anteproyecto, referente
al Edificio de Uso Habitacional proyectado con los siguientes niveles:
(Estacionamiento S.S. + PB Estacionamientos y Palier + 14 Plantas Tipo 1 de
Departamentos + 3 Plantas Tipo 2 de Departamentos + Azotea con Amenities),
sito en el predio ubicado en la Avenida Santísimo Sacramento casi Juan González
Doldán, individualizado con la Cta. Cte. Ctral. N° 15-0786-25.
*Recomendación: “1) AUTORIZAR la aplicación del Régimen de
Excepcionalidad de acuerdo al anteproyecto de construcción presentado a
través del Expediente N° 4.237/2025, caratulado a nombre de la Firma
“ITACUÁ BIENES Y RAÍCES S.A.”, previo pago de los montos previstos en
las ordenanzas pertinentes a tal beneficio, para el aumento del coeficiente
7
Junta Municipal
Asunción
permitido para la zona, con relación al anteproyecto de construcción de una
Torre destinada a Edificio de Departamentos de 20 niveles (PB
Estacionamientos y Palier + 14 Plantas Tipo 1 de Departamentos + 3 Plantas
Tipo 2 de Departamentos + Azotea con Amenities y 1 Subsuelo de
estacionamientos), sito en la Avenida Sacramento casi Juan González
Doldán, en el inmueble individualizado con la Cta. Cte. Ctral. N° 15-0876-25,
en consonancia con lo expresado en el dictamen del Consejo del Plan
Regulador y a los informes que constan en el exordio del presente dictamen.
2) ENCOMENDAR, a la Intendencia Municipal, Dirección de Obras
Particulares que, para la aprobación y otorgamiento del permiso de
construcción, deberá presentar un Estudio de Impacto Vial que contemple
medidas mitigatorias para la implantación del proyecto a ser implementado
juntamente con las obras civiles, as",https://drive.google.com/file/d/1qg4H8QqyyqpCjTzReFfRqR5BpcTU_ysL/view?usp=sharing
16 de julio de 2025,14.634/2024,GRUPO 200 S.A.,,Departamentos en la esquina de la calle Gral. Torreani Viera y Campos Cervera,Gral. Torreani Viera esquina Andrés Campos Cervera,14-0115-09/10,,"13. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento
Territorial, con relación a la Nota ME/N° 1.513/25, del Consejo del Plan
Regulador, referente a la Nota JM/N° 4.308/25, por la que se remitió, a dicho
Consejo, el Mensaje Nº 239/2025 S.G., referente al Expediente N° 14.634/2024,
del GRUPO 200 S.A., sobre pedido de aprobación de anteproyecto de
construcción de Torre de Edificio destinado a Departamentos en la esquina de la
calle Gral. Torreani Viera y Campos Cervera.
*Recomendación: “1) AUTORIZAR la aplicación del Régimen de
Excepcionalidad al anteproyecto de construcción de Torre de Edificio de uso
mixto (Salones Comerciales PB y Departamentos), sito en la calle Gral.
Torreani Viera esquina Andrés Campos Cervera, en el inmueble
individualizado con las Ctas. Ctes. Ctrales. Nros. 14-0115-09/10, previo pago
de los tributos pertinentes relacionados a este régimen, en consonancia con lo
expresado en el dictamen del Consejo del Plan Regulador y a los informes
que constan en el exordio del presente dictamen. 2) ENCOMENDAR, a la
Intendencia Municipal, Dirección de Obras Particulares que, para la
aprobación y otorgamiento del permiso de construcción, deberá presentar un
Estudio de Impacto Vial que contemple medidas mitigatorias para la
implantación del proyecto a ser implementado juntamente con las obras
civiles, así como la respectiva Licencia Ambiental otorgada por el MADES.",https://drive.google.com/file/d/1qg4H8QqyyqpCjTzReFfRqR5BpcTU_ysL/view?usp=sharing
20 de agosto de 2025,4.237/2024,ITACUÁ Bienes Raíces S,20,Edificio de Departamentos de 20 niveles (PB Estacionamientos y Palier + 14 Plantas Tipo 1 de Departamentos + 3 Plantas Tipo 2 de Departamentos + Azotea con Amenities y 1 Sub Suelo de estacionamientos),Santísimo Sacramento casi Juan González Doldán,15-0786-25,,"8. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento
Territorial, con relación a la Nota del Consejo del Plan Regulador, por medio del
cual remite el dictamen con relación al Mensaje N° 450/2025 S.G., referente al
pedido de excepcionalidad presentado a través del Expediente N° 4.237/2024, de
Itacuá Bienes y Raíces S.A., sobre aprobación de anteproyecto para Edificio de
uso Habitacional proyectado con los siguientes niveles: (Estacionamiento S.S. +
PB Estacionamientos y Palier + 14 Plantas Tipo 1 de Departamentos + 3 Plantas
Tipo 2 de Departamentos + Azotea con Amenities), sito en el predio ubicado en
la Avenida Santísimo Sacramento casi Juan González Doldán, individualizado
con la Cta. Cte. Ctral. N° 15-0786-25.
*Recomendación: “1°) RATIFICARSE en los términos del dictamen de esta
Comisión en el sentido de AUTORIZAR la aplicación del régimen de
Excepcionalidad de acuerdo al anteproyecto de construcción presentado a
través del Expediente N° 4.237/2025, caratulado a nombre de la firma
ITACUÁ Bienes Raíces S.A., previo pago de los montos previstos en la
Ordenanza pertinente a tal beneficio, para el aumento del coeficiente
permitido para la zona, con relación al anteproyecto de construcción de una
Torre destinada a Edificio de Departamentos de 20 niveles (PB
Estacionamientos y Palier + 14 Plantas Tipo 1 de Departamentos + 3 Plantas
Tipo 2 de Departamentos + Azotea con Amenities y 1 Sub Suelo de
estacionamientos) , sito en la Avenida Sacramento casi Juan González
Doldán, en el inmueble individualizado con la Cta. Cte. Ctral. N° 15-0876-25,
en consonancia con lo expresado en el dictamen del Consejo del Plan
Regulador y a los informes que constan en el exordio del presente dictamen.
2°) ENCOMENDAR, a la Intendencia Municipal, Dirección de Obras
Particulares que, para la aprobación y otorgamiento del permiso de
construcción, deberá presentar un Estudio de Impacto Vial que contemple
medidas mitigatorias para la implantación del proyecto juntamente con las
ob",https://drive.google.com/file/d/1UtFkeHdM1Hu-jY_mOe3ZwKObBv4zRRRs/view?usp=sharing
11 de junio de 2025,1.895/25,,39,Edificio Corporativo (Banco) y comercios en Planta baja (podio) de 39 (treinta y nueve) niveles,Mariscal López y República Argentina,14-0216-01/03/18/20,106/23,"13. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento
Territorial, con relación a la Nota S/N° del Consejo del Plan Regulador, de abril
de 2025, referente al Mensaje N° 253/2025 S.G., por el cual la Intendencia
Municipal remite el Expediente N° 1.895/25, de la Firma “CONSTRUCTORA
CIVIL E INDUSTRIAL S.A.”, por el cual se presenta el anteproyecto con la
solicitud de aplicación de régimen de excepcionalidad, en el inmueble identificado
con las Ctas. Ctes. Ctrales. Nros. 14-0216-01/03/18/20, ubicado en la esquina de
las Avenidas Mariscal López y República Argentina.
*Recomendación: “1°) AUTORIZAR la aplicación del Régimen de
Excepcionalidad, previo pago de los montos previstos en la Ordenanza N°
106/23, pertinentes a tal beneficio, para el aumento del coeficiente permitido
para la zona, con relación al anteproyecto de construcción de una torre
destinada a Edificio Corporativo (Banco) y comercios en Planta baja (podio)
de 39 (treinta y nueve) niveles, sito en la esquina de las Avenidas Mariscal
López y República Argentina, en el inmueble individualizado con las Ctas.
Ctes. Ctrales. N° 14-0216-01/03/18/20, de acuerdo con lo expresado en el
dictamen del Consejo del Plan Regulador y a los informes que constan en el
exordio del presente dictamen, con las constancias del Expediente N°
1.895/25, caratulado: Firma “CONSTRUCTORA CIVIL E INDUSTRIAL
S.A.”. 2°) ENCOMENDAR a la Intendencia Municipal, Dirección de Obras
Particulares, que, para la aprobación y otorgamiento del permiso de
construcción, deberá presentar un Estudio de Impacto Vial que contemple
medidas mitigatorias para la implantación del proyecto a ser implementado
juntamente con las obras civiles, así como la respectiva Licencia Ambiental
otorgada por el MADES”.",https://drive.google.com/file/d/1NKwbGAtMT3JA0jQfN5tFLz4Z4MQGbpqD/view?usp=sharing
18 de junio de 2025,1.895/25,,39,Edificio Corporativo (Banco) y comercios en Planta baja (podio) de 39 (treinta y nueve) niveles,Mariscal López y República Argentina,14-0216-01/03/18/20,106/23,"7. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento
Territorial, con relación a la Nota S/N° del Consejo del Plan Regulador, de abril
de 2025, referente al Mensaje N° 253/2025 S.G., por el cual la Intendencia
Municipal remite el Expediente N° 1.895/25, de la Firma “CONSTRUCTORA
CIVIL E INDUSTRIAL S.A.”, por el cual se presenta el anteproyecto con la
solicitud de aplicación de régimen de excepcionalidad, en el inmueble identificado
con las Ctas. Ctes. Ctrales. Nros. 14-0216-01/03/18/20, ubicado en la esquina de
las Avenidas Mariscal López y República Argentina.
*Recomendación: “1°) AUTORIZAR la aplicación del Régimen de
Excepcionalidad, previo pago de los montos previstos en la Ordenanza N°
106/23, pertinentes a tal beneficio, para el aumento del coeficiente permitido
para la zona, con relación al anteproyecto de construcción de una torre
4
Junta Municipal
Asunción
destinada a Edificio Corporativo (Banco) y comercios en Planta baja (podio)
de 39 (treinta y nueve) niveles, sito en la esquina de las Avenidas Mariscal
López y República Argentina, en el inmueble individualizado con las Ctas.
Ctes. Ctrales. N° 14-0216-01/03/18/20, de acuerdo con lo expresado en el
dictamen del Consejo del Plan Regulador y a los informes que constan en el
exordio del presente dictamen, con las constancias del Expediente N°
1.895/25, caratulado: Firma “CONSTRUCTORA CIVIL E INDUSTRIAL
S.A.”. 2°) ENCOMENDAR a la Intendencia Municipal, Dirección de Obras
Particulares, que, para la aprobación y otorgamiento del permiso de
construcción, deberá presentar un Estudio de Impacto Vial que contemple
medidas mitigatorias para la implantación del proyecto a ser implementado
juntamente con las obras civiles, así como la respectiva Licencia Ambiental
otorgada por el MADES”.",https://drive.google.com/file/d/17_GVBU82MVvcTD-C1EXCZTUSH2bSLEiR/view?usp=sharing
13 de marzo de 2024,14.166/2023,FEDEZ S.A.,,torre de departamentos y estacionamientos,Pintor Alborno y Capitán Herminio Maldonado,14-1659-02/03/04/11/12/13,163/18,"13. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento Territorial,
con relación al Nota ME/N° 1.023/2024, del Consejo del Plan Regulador, a través de
la cual remite su dictamen con relación al Mensaje N° 14/24, derivado al Consejo por
medio de la Nota CP/N° 12/24, por la cual se remitió el expediente de Julio César
Hernández Cardona sobre tratamiento de proyecto de excepción y el Memorándum
N° 332/23, de la Dirección de Obras Particulares, dependiente de la Dirección
General de Desarrollo Urbano, referente al pedido de excepcionalidad, presentado
por la Firma FEDEZ S.A., en el marco de la Ordenanza N° 163/18 “Plan de
Ordenamiento Territorial”.
*Recomendación: “Art. 1°) AUTORIZAR la aplicación del régimen de
excepcionalidad, previo pago de los montos pertinentes, correspondientes a tal
beneficio, para el aumento del 100% en el coeficiente permitido para la zona, en
relación al proyecto de construcción de torre de departamentos y
estacionamientos, propiedad de la Firma FEDEZ S.A., en el inmueble sito en la
esquina de las calles Pintor Alborno y Capitán Herminio Maldonado,
identificado con las Ctas. Ctes. Ctrales. Nros. 14-1659-02/03/04/11/12/13, de
acuerdo a las manifestaciones del exordio del presente dictamen y a los informes
obrantes en el Expediente N° 14.166/2023, caratulado “Julio César Hernández
Cardona s/ Tratamiento de Proyecto de Excepción”. Art. 2°) ENCOMENDAR a
la Intendencia Municipal la imputación del monto recaudado del presente
proyecto al “Fondo Municipal para Programas de Interés Urbanístico”, y la
totalidad de lo recaudado al mejoramiento, restructuración y equipamiento de
la Plaza “Las Residentas”, sito sobre la Avenida Molas López, previo informe
de las dependencias respectivas de la Intendencia Municipal a la Corporación,
una vez abonado los montos respectivos por el presente proyecto. Art. 3°)
ENCOMENDAR a la Intendencia Municipal, Dirección de Obras Particulares,
la inclusión en el proceso de aprobación de planos de construcció",https://drive.google.com/file/d/1joyQfsqoWRi4HTMXBHagce8sB93F7Vjz/view?usp=sharing
11 de setiembre de 2024,6.337/24,Saddi Jacinta Admen Ramírez,,,la Avda. Aviadores del Chaco casi Hérib Campos Cervera,15-0204-02 / 15-0204-03 / 15-0204-04 / 15-0204-10 / 15-0204-88 y 15-0204-99 / 9,,"12. Dictamen de la Comisión de Planificación, Urbanismo y Ordenamiento Territorial,
con relación a la Nota ME/N° 1.251/2024, por la cual se remite el Dictamen del
Consejo del Plan Regulador, con relación al pedido de excepcionalidad presentado
en el Expediente N° 6.337/24, a nombre de Saddi Jacinta Admen Ramírez, sobre
anteproyecto de construcción de edificio de uso mixto (hotel, comercios,
departamentos) en el predio ubicado sobre la Avda. Aviadores del Chaco casi Hérib
Campos Cervera.
*Recomendación: “1°- AUTORIZAR la aplicación del Régimen de
Excepcionalidad, previo pago de los montos pertinentes correspondientes a tal
beneficio, para el aumento del 100% en el coeficiente permitido para la zona,
con relación al anteproyecto de construcción de torre de edificio de uso mixto
(hotel, comercio, departamentos) sito en la Avda. Aviadores del Chaco casi
Hérib Campos Cervera, implantado en los inmuebles con Ctas. Ctes. Ctrales.
N° 15-0204-02, 15-0204-03, 15-0204-04, 15-0204-10, 15-0204-88 y 15-0204-99,
9
Junta Municipal
Asunción
de acuerdo con las manifestaciones del exordio del presente dictamen,
correspondientes a los informes obrantes en el Expediente N° 6.337/24. 2.-
ENCOMENDAR a la Intendencia Municipal que, por medio de sus direcciones
pertinentes, realice cuanto sigue: a) La imputación del monto recaudado en
concepto de la aplicación del artículo al Fondo de Desarrollo Urbano, de forma
separada del Impuesto a la Construcción, con informe a la Junta Municipal
del hecho, una vez abonado por el presente proyecto. b) Presentación de un
estudio de impacto vial, con medidas de mitigación particulares, para la
inserción del proyecto durante el proceso de aprobación de planos”.",https://drive.google.com/file/d/13tChLL9tnQv_45G8KwghMKqc3amPacbE/view?usp=sharing
